,City,Country,Latitude,Longitude,Temperature,Cloudiness,Humidity,Maximum temperature,Wind speed
277,tubruq,ly,31.438376619736374,23.516696956698382,24.05,0,65,24.05,8.67
278,albany,au,-52.428132627761855,113.22911996007423,1.05,99,93,1.05,23.29
279,ushuaia,ar,-51.94138287911628,-56.61857918077547,2.65,99,78,2.65,9.41
280,soke,tr,37.75868443762077,27.372393773905742,27.57,0,32,29.0,7.7
281,ushuaia,ar,-59.91183720144134,-59.17666450263482,-0.85,99,83,-0.85,6.19
282,bethel,us,43.32391363289176,-171.622248019913,10.85,50,94,10.85,3.82
283,sarrebourg,fr,48.86960665041474,6.965670849687143,20.62,32,38,26.0,9.3
284,ushuaia,ar,-69.78302221567887,-35.99920974681646,-29.55,0,96,-29.55,5.41
285,bom jesus,br,-9.042717935070172,-44.82992393355465,31.65,2,35,31.65,4.38
286,port alfred,za,-78.62729024474982,45.242123301014175,-55.95,64,100,-55.95,3.62
287,new norfolk,au,-54.956891394990315,133.5865777260655,1.15,97,74,1.15,10.0
288,arraial do cabo,br,-34.105926796769715,-35.335240277048,15.35,0,65,15.35,4.17
289,mataura,pf,-49.758952849364185,-142.46104585518623,5.95,100,70,5.95,10.26
290,rio grande,br,-38.36513370219657,-45.5866053425552,13.65,100,70,13.65,4.76
291,busselton,au,-33.769586923589316,112.45923056639435,15.55,100,66,15.55,5.25
292,dikson,ru,84.48803121898794,71.3519242341718,0.25,100,97,0.25,5.9
293,matamoros,mx,24.462036981384642,-95.15224695671934,29.05,30,74,29.05,3.73
294,bambanglipuro,id,-16.245252732949595,108.58976958112817,24.65,0,70,24.65,9.78
295,belushya guba,ru,88.87525215137023,53.382614435883056,0.55,100,96,0.55,6.24
296,meulaboh,id,1.169941374215,93.83175502722167,28.75,0,78,28.75,5.54
297,sanming,cn,26.06812958561092,117.75624658711808,21.45,100,97,21.45,2.02
298,akyab,mm,18.31074621633266,92.437200017299,28.85,100,84,28.85,8.99
299,thompson,ca,64.13574688576145,-100.176665448072,12.05,87,61,12.05,5.97
300,saint-philippe,re,-56.152478794365635,68.53702986336475,-0.65,24,53,-0.65,3.3
301,mildura,au,-32.900525109603585,143.2417980429172,7.95,83,69,7.95,6.55
302,cape town,za,-72.64881489753255,-4.998174007394539,-33.95,53,95,-33.95,7.99
303,kapaa,us,26.84046210825977,-169.67917523098353,25.35,90,78,25.35,7.91
304,saint combs,gb,58.61595555896966,-1.5233689441446643,11.65,0,87,11.65,4.68
305,new norfolk,au,-66.93638772432976,137.18113806755184,-17.05,100,88,-17.05,9.5
306,jamestown,sh,-9.934699031167057,-5.06536840505467,21.75,100,72,21.75,6.48
307,victoria,sc,-1.6463559690839986,56.16722829876039,26.45,63,86,26.45,4.2
308,punta arenas,cl,-81.68691521005047,-118.00097294095943,-24.65,60,76,-24.65,8.56
309,ferrol,es,46.125015991803394,-9.382999462009224,17.25,42,82,17.25,7.8
310,ossora,ru,61.780945714040314,163.19333456627703,11.85,10,87,11.85,4.35
311,mehamn,no,80.36039842269602,29.441540921515582,0.45,98,93,0.45,3.37
312,trelew,ar,-44.22490663929597,-66.22829142328729,9.65,4,48,9.65,6.28
313,jamestown,sh,-39.921972689963496,-9.645500941518662,9.85,100,87,9.85,5.49
314,nome,us,67.29046784103116,-166.65598405030096,12.65,1,65,12.65,3.53
315,saskylakh,ru,78.56606941537166,119.22770730870025,-0.25,100,96,-0.25,5.9
316,bestobe,kz,52.10197070367434,72.63347986248857,20.35,43,46,20.35,3.79
317,esperance,au,-31.727073026265927,121.06033405755215,6.55,3,94,6.55,2.62
318,georgetown,sh,-5.915391511462133,-21.630299791275775,25.75,14,79,25.75,7.59
319,geraldton,au,-32.03507361617713,99.70442499191859,15.75,65,71,15.75,6.47
320,lavrentiya,ru,70.34752755365963,-172.10061337376558,8.25,100,69,8.25,4.55
321,maple creek,ca,50.1267612050747,-109.79683203701927,25.0,20,44,25.0,5.7
322,castro,cl,-53.30947066896962,-92.88213141979307,5.05,100,93,5.05,4.65
323,tomohon,id,1.2405472382926774,123.99783310103322,26.55,100,74,26.55,2.99
324,busselton,au,-52.248299018367405,85.44105587093821,0.45,100,91,0.45,7.34
325,albany,au,-73.74774335341746,97.94788370383111,-56.65,62,100,-56.65,5.64
326,sao joao da barra,br,-26.326483580416294,-33.815846557800654,21.05,18,81,21.05,4.19
327,singleton,au,-32.904495114692075,150.93558717336253,14.92,15,52,16.11,0.45
328,cape town,za,-40.3120656653497,14.941072602219464,12.65,72,70,12.65,11.95
329,bambous virieux,mu,-21.78827935088293,60.60865590926895,21.15,11,70,21.15,7.58
330,sol-iletsk,ru,50.881576912572996,55.01609791118614,27.85,10,33,27.85,5.42
331,barrow,us,77.74078020365576,-148.3274500179757,0.95,100,94,0.95,2.83
332,severo-kurilsk,ru,44.0263811663211,156.55498606021774,10.45,100,83,10.45,4.24
333,hermanus,za,-79.66173062307459,6.097754171714172,-45.35,10,54,-45.35,7.49
334,hobart,au,-58.21804151931921,144.06741490343882,-1.75,100,77,-1.75,15.16
335,cape town,za,-49.31187227365337,7.56199401455288,1.55,93,73,1.55,21.61
336,pevek,ru,78.48809531577703,167.19742432721944,0.25,100,95,0.25,4.22
